id,length,description,video_type,name,size,quality,genre,director
117,131,Team-oriented even-keeled model,series,It Runs in the Family,8694888864,1080p,Comedy|Drama,Christopher Nolan
39,288,Distributed homogeneous definition,short film,I Love You Too (Ik ook Van Jou),4715219461,HD,Drama|Romance,Martin Scorsese
46,255,Synchronised intangible concept,documentary,Sambizanga,5318928709,1080p,Drama,Spike Lee
78,149,Re-engineered 24 hour extranet,documentary,Raising Cain,4427673404,720p,Horror|Thriller,Martin Scorsese
95,177,Implemented regional pricing structure,series,Once Upon a Time in the Midlands,3652872420,HD,Drama,Christopher Nolan
100,200,Multi-channelled didactic support,movie,Don Juan DeMarco,2235488847,HD,Comedy|Drama|Romance,Spike Lee
35,319,Expanded client-driven structure,documentary,"Flintstone Kids' Just Say No Special, The",3993985120,1080p,Animation|Children,Spike Lee
123,194,Secured local success,documentary,Infestation,2315595779,4k,Action|Comedy|Sci-Fi,Quentin Tarantino
24,276,Operative asymmetric ability,show,The Brides of Fu Manchu,5345546228,1080p,Action|Crime|Horror|Sci-Fi,Quentin Tarantino
10,133,Total background extranet,movie,"Happy Ending, The",3550738886,1080p,Drama,Spike Lee
119,270,Visionary non-volatile concept,documentary,"Apple, The (Sib)",5006472124,8k,Drama,Quentin Tarantino
25,173,Persevering zero administration open architecture,short film,Crimes of Passion,4372718017,720p,Drama|Romance|Thriller,Spike Lee
142,244,Universal eco-centric capacity,series,Jimmy Neutron: Boy Genius,6999059297,720p,Adventure|Animation|Children|Comedy,Christopher Nolan
25,168,Function-based client-server workforce,short film,Fire on the Mountain,2254066090,1080p,Documentary,Quentin Tarantino
20,117,Advanced empowering capacity,movie,Nazarin (Nazarín),2584259418,4k,Drama,Steven Spielberg
67,270,Horizontal motivating circuit,documentary,"Deep End, The",5444097131,1080p,Drama,Quentin Tarantino
4,167,Intuitive stable product,documentary,Narco Cultura,5656069414,8k,Documentary,Steven Spielberg
32,247,Optional grid-enabled artificial intelligence,documentary,Making the Earth Stand Still,4904488702,HD,Documentary,Steven Spielberg
77,294,Quality-focused grid-enabled adapter,series,Two Lives (Zwei Leben),7800117033,1080p,Drama|Thriller,Quentin Tarantino
131,277,Public-key 3rd generation interface,movie,Talladega Nights: The Ballad of Ricky Bobby,3633612799,4k,Action|Comedy,Martin Scorsese
1,128,Universal explicit knowledge user,series,Resident Evil: Damnation,2067722821,1080p,Action|Animation|Horror,Christopher Nolan
26,170,Integrated dynamic solution,show,"Family Jewels, The",6372037647,8k,Comedy,Spike Lee
79,139,Cross-platform discrete orchestration,movie,Arena,6728301559,1080p,Action|Thriller,Spike Lee
66,105,Phased non-volatile solution,series,"Grass Is Greener, The",7194476284,8k,Comedy|Romance,Martin Scorsese
32,261,Inverse intangible ability,show,Closed Circuit,3353016733,8k,Crime|Drama|Mystery,Steven Spielberg
129,267,Synergized upward-trending complexity,series,"Constant Gardener, The",8380769553,720p,Drama|Thriller,Steven Spielberg
139,237,Reactive 3rd generation time-frame,show,Tripping the Rift: The Movie,1272506274,720p,Animation|Comedy|Sci-Fi,Martin Scorsese
81,180,Secured leading edge matrices,short film,Perifery (Härmä),8087254463,4k,Drama,Martin Scorsese
138,271,Total global migration,short film,Pavilion of Women,8350409848,8k,Drama,Quentin Tarantino
112,130,Virtual value-added system engine,show,"Stranger in Town, A",2665363221,8k,Drama|Romance,Christopher Nolan
145,257,Customizable next generation projection,documentary,The Vixen,1936871084,720p,Comedy,Spike Lee
111,216,Phased solution-oriented internet solution,documentary,In Bloom (Grzeli nateli dgeebi),7875541113,1080p,Drama,Steven Spielberg
105,146,Operative modular adapter,show,With Love... from the Age of Reason,1952360701,720p,Comedy|Romance,Spike Lee
45,189,Quality-focused directional array,show,King Solomon's Mines,8861833176,720p,Action|Adventure|Drama|Romance|Thriller,Spike Lee
6,210,Streamlined discrete toolset,documentary,For Love of the Game,7566634780,4k,Comedy|Drama,Quentin Tarantino
65,118,Public-key object-oriented flexibility,movie,Primary,5252584466,HD,Documentary,Spike Lee
69,170,Persevering hybrid moderator,series,Seinto Seiya: Legend of Sanctuary (Seinto Seiya: Legend of Sanctuary),3086882750,720p,Animation,Quentin Tarantino
6,216,Persistent system-worthy access,short film,Bye Bye Brazil (Bye Bye Brasil),2459626591,720p,Drama,Spike Lee
34,231,Diverse disintermediate function,series,Desert Blue,7195691815,1080p,Comedy,Martin Scorsese
56,106,Profound well-modulated capacity,documentary,Baadasssss! (How to Get the Man's Foot Outta Your Ass),7090200057,1080p,Drama,Quentin Tarantino
